time_iso8601,stars_cumulative
2024-03-26 00:00:00+00:00,4237
2024-03-27 00:00:00+00:00,4241
2024-03-28 00:00:00+00:00,4243
2024-03-29 00:00:00+00:00,4246
2024-03-30 00:00:00+00:00,4253
2024-03-31 00:00:00+00:00,4255
2024-04-01 00:00:00+00:00,4264
2024-04-02 00:00:00+00:00,4268
2024-04-03 00:00:00+00:00,4270
2024-04-04 00:00:00+00:00,4272
2024-04-05 00:00:00+00:00,4277
2024-04-06 00:00:00+00:00,4278
2024-04-07 00:00:00+00:00,4284
2024-04-08 00:00:00+00:00,4288
2024-04-09 00:00:00+00:00,4290
2024-04-10 00:00:00+00:00,4298
2024-04-11 00:00:00+00:00,4299
2024-04-12 00:00:00+00:00,4303
2024-04-13 00:00:00+00:00,4305
2024-04-14 00:00:00+00:00,4305
